Latitude,Longitude,island,name,address,zipcode,type,units,year_open,hawaiistgrdsownerhotelsarea
838349.5442,2113918.552,Hawaii,Leilani Bed & Breakfast,92-8822 Leilani Parkway,96737,BED & BREAKFAST,3,2005,Ocean View
772917.6759,2314279.538,Maui,Mangolani B&B,325 Baldwin Avenue,96779,BED & BREAKFAST,6,,Paia
629861.7565,2368935.492,Oahu,Manu Mele Bed & Breakfast,153 Kailuana Place,96734,BED & BREAKFAST,2,1988,Kailua
789436.0533,2314204.872,Maui,Maui Eco Retreat,610 Huelo Road,96708,BED & BREAKFAST,5,,Haiku
931155.6195,2167579.976,Hawaii,Ohana House,11-3741A Ala Ohia,96778,INDIVIDUAL VACATION UNIT,1,2005,Volcano
620885.6011,2373550.586,Oahu,Paradise Bay Resort,47-039 Lihikai Drive,96744,HOTEL,46,2010,Kaneohe
630943.8937,2366778.357,Oahu,Sheffield House,131 Kuulei Road,96734,BED & BREAKFAST,2,1987,Kailua
766163.8019,2291238.164,Maui,Sunny Surf,3080 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,1,,Kihei
908900.2523,2185324.684,Hawaii,The Falls at Reed's Island,286 Kalulani Street,96720,INDIVIDUAL VACATION UNIT,1,2004,Hilo
627192.0013,2352709.165,Oahu,The Kahala Hotel & Resort,5000 Kahala Avenue,96816,HOTEL,338,1963,Honolulu
743877.3913,2324015.571,Maui,The Ritz-Carlton Kapalua,1 Ritz Carlton Drive,96761,HOTEL,466,1992,Lahaina
621128.2208,2353524.306,Oahu,Trump International Hotel Waikiki,223 Saratoga Road,96815,HOTEL,377,2009,Honolulu
895620.3029,2152583.297,Hawaii,Volcano Village Lodge,19-4183 Road E,96785,BED & BREAKFAST,5,2006,Volcano
430272.665,2428498.145,Kauai,Waimea Plantation Cottages,9400 Kaumualii Highway,96796,HOTEL,59,1984,Waimea
778611.6247,2315853.795,Maui,Hale Mauka Makai,279 Pauwela Road,96708,INDIVIDUAL VACATION UNIT,1,1997,Haiku
818857.2225,2165439.548,Hawaii,Wyndham Mauna Loa Village,78-7190 Kaleiopapa Street,96740,TIMESHARE,53,1983,Kailua-Kona
818857.2225,2165439.548,Hawaii,Shell Vacations Holua Resort at Mauna Loa Village,78-7190 Kaleiopapa Street,96740,TIMESHARE,73,1983,Kailua-Kona
466231.8824,2438962.189,Kauai,Shell Vacations Kaua‘i Coast Resort at the Beachboy,520 Aleka Loop,96746,TIMESHARE,108,1969,Kapaa
818519.7856,2166872.382,Hawaii,Shell Vacations Kona Coast Resort,78-6842 Alii Drive,96740,TIMESHARE,268,1981,Kailua Kona
835584.492,2206431.653,Hawaii,Shell Vacations Paniolo Greens Resort,68-1745 Waikoloa Road,96738,TIMESHARE,162,1991,Waikoloa
620491.8234,2354134.942,Oahu,Shell Vacations Waikiki Marina Resort at The Ilikai,1777 Ala Moana Boulevard,96815,TIMESHARE,1045,1964,Honolulu
766100.4838,2293550.329,Maui,WorldMark at Kihei,75 Alanui Ke Alii Drive,96753,TIMESHARE,200,2001,Kihei
816057.9667,2172793.532,Hawaii,WorldMark at Kona,75-5949 Alii Drive,96740,TIMESHARE,64,1997,Kailua-Kona
741363.0458,2320743.318,Maui,WorldMark at Valley Isle,4327 Lower Honoapiilani Road,96761,TIMESHARE,14,1973,Lahaina
467026.3422,2439921.056,Kauai,WorldMark Kapaa Shore,4-900 Kuhio Highway,96746,TIMESHARE,49,1978,Kapaa
621372.4633,2354055.524,Oahu,Wyndham Vacation Resorts Royal Garden at Waikiki,440 Olohana Street,96815,TIMESHARE,140,1993,Honolulu
621303.0484,2353518.44,Oahu,Wyndham at Waikiki Beach Walk,227 Lewers Street,96815,TIMESHARE,195,2006,Honolulu
450376.5955,2457517.291,Kauai,Wyndham Bali Hai Villas,4970 Pepelani Loop,96722,TIMESHARE,259,1995,Princeville
451449.5415,2457159.23,Kauai,Wyndham Ka Eo Kai,3970 Wyllie Road,96722,TIMESHARE,87,1982,Princeville
765937.7628,2293050.786,Maui,Hale Pau Hana Resort,2480 South Kihei Road,96753,CONDOMINIUM HOTEL,79,1969,Kihei
759710.1396,2301662.191,Maui,Kanai A Nalu,250 Hauoli Street,96793,INDIVIDUAL VACATION UNIT,69,1976,Wailuku
764630.9447,2298707.692,Maui,Wailana Kai,34 Wailana Place,96753,INDIVIDUAL VACATION UNIT,7,1985,Kihei
912678.5056,2186180.203,Hawaii,Pagoda Hilo Bay,121 Banyan Drive,96720,APARTMENT/ HOTEL,95,1973,Hilo
449021.8931,2457480.071,Kauai,Emmalani Court,5250 Ka Haku Road,96722,INDIVIDUAL VACATION UNIT,25,2005,Princeville
740664.1522,2316607.545,Maui,Kaanapali Plantation,150 Puukolii Road,96761,INDIVIDUAL VACATION UNIT,22,,Lahaina
765985.1146,2292867.33,Maui,Kihei Akahi,2531 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,199,1977,Kihei
740166.0958,2315717.854,Maui,Maui Eldorado,2661 Kekaa Drive,96761,INDIVIDUAL VACATION UNIT,186,1969,Lahaina
759223.7927,2301261.778,Maui,Milowai-Maalaea,50 Hauoli Street,96793,INDIVIDUAL VACATION UNIT,24,2004,Wailuku
741314.8191,2321013.025,Maui,Pohailani,4435 Lower Honoapiilani Road,96761,INDIVIDUAL VACATION UNIT,70,,Kahana
466894.866,2439652.465,Kauai,Waipouli Beach Resort,4-820 Kuhio Highway,96746,INDIVIDUAL VACATION UNIT,184,2006,Kapaa
759658.3662,2312190.814,Maui,Banana Bungalow / Maui Hostel,310 North Market Street,96793,HOSTEL,28,1990,Wailuku
453299.477,2418931.74,Kauai,Beachside Poipu Hale,2221B Kuai Road,96756,INDIVIDUAL VACATION UNIT,3,1994,Poipu
810558.7442,2301342.634,Maui,Hale Moana,141 Alalele Place,96713,INDIVIDUAL VACATION UNIT,1,,Hana
813922.0024,2298128.198,Maui,Hana Beach Cottage,4975 Uakea Road,96713,INDIVIDUAL VACATION UNIT,1,,Hana
813661.5379,2298555.932,Maui,Hana Beachfront Hale,140 Waikoloa Road,96713,INDIVIDUAL VACATION UNIT,1,,Hana
