Date,City,Shape
6/15/07,Maui,Unknown
8/21/07,Ewa Beach,Fireball
8/26/07,Honolulu,Light
8/28/07,Keaau,Light
9/29/07,Lihue,Light
10/1/07,Ewa Beach,Light
10/14/07,Honolulu,Light
11/12/07,Ka'anapali,Circle
12/1/07,Kailua,Changing
12/3/07,Kihei,Light
12/21/07,Honolulu,Unknown
1/22/08,Wahkiki,Unknown
2/18/08,Kapaa,Light
4/4/08,Maui,Triangle
4/27/08,Captain Cook,Light
4/27/08,Honaunau,Formation
4/27/08,Captain Cook,Light
4/27/08,Honaunau,Fireball
5/19/08,Hilo,Light
5/26/08,Honolulu,Light
6/13/08,Honolulu,Light
7/18/08,Po'ipu,Other
7/28/08,Honolulu,Cigar
8/11/08,Lahaina,Circle
8/28/08,Hanalei,Light
10/19/08,Hilo,Sphere
10/23/08,Honolulu,Light
10/25/08,Mililani (around),Chevron
12/22/08,Kona,Light
1/11/09,Haiku,Light
1/19/09,Kaneohe,
5/3/09,Honolulu,Sphere
7/18/09,Honolulu,Other
7/24/09,Waimanalo,Sphere
8/3/09,Keaau,Circle
8/15/09,Honolulu,Circle
8/17/09,Haleiwa,Unknown
8/20/09,Haleiwa,Unknown
8/25/09,Kilauea,Other
8/26/09,Wailua,Light
9/18/09,Ka'anapali,Oval
10/4/09,Ewa Beach,Circle
10/7/09,Kaunakakai,Other
10/14/09,Honolulu,Circle
10/27/09,Kaneohe,
11/7/09,Honolulu,Other
12/6/09,Honolulu,Light
12/27/09,Honolulu,Circle
1/8/10,Kapolei,Light
1/9/10,Kapolei,Light
1/25/10,Keaau,Light
1/25/10,Kapolei,Light
2/16/10,Kailua-Kona,Light
2/23/10,Ewa Beach,Triangle
2/26/10,Keaau,Sphere
3/5/10,Kihei,Circle
3/5/10,Kihei,Circle
3/14/10,Honolulu,Cylinder
3/27/10,Ewa Beach,Unknown
4/19/10,Honolulu,Triangle
4/28/10,Honolulu,Light
5/4/10,Ewa Beach,Light
5/4/10,Wahiawa,Light
5/24/10,Honolulu,Sphere
7/25/10,Lahaina,Chevron
8/1/10,Hickam AFB,Triangle
8/4/10,Kunia,Light
8/4/10,Pa'akai Point- Mamalahoha Hwy,Triangle
9/18/10,Kapolei (Oahu),Light
9/20/10,Kiluea,Changing
11/10/10,Kahului,Oval
11/13/10,Kahului,Formation
11/22/10,Haleiwa,Disk
12/10/10,Honolulu,Flash
12/19/10,Kahului,Disk
12/20/10,Kahului,Disk
12/31/10,Honolulu,Light
12/31/10,Poipu Koloa,Light
2/5/11,Kaanapali,Circle
6/4/11,Kailua-Kona,Other
6/21/11,Kihei,Other
6/30/11,North Shore Oahu,Oval
7/2/11,Hilo,Light
7/4/11,Waipahu,Triangle
7/24/11,Ewa Beach,Circle
7/26/11,Haleiwa,Light
8/9/11,Honolulu,Unknown
8/12/11,Honolulu,Sphere
